Team,Golddiff,Side,Count,TopGold
SKT,"[0.0, -0.19, -5.58, -24.81, 4.87, -33.43, 75.77, 77.98, 17.74, -21.23, -57.6, -56.89, 48.43, 30.09, -50.15, -132.0, -0.89, 34.53, 16.85, 147.53, 12.09, 85.23, -33.0, 384.79, 364.46, 633.24, -448.62, -365.89, -302.77, -200.76, -167.82, -460.39, -633.6, -1258.84, -2522.92, -3481.92, -2951.79, -3503.62, -3291.13, -2633.29, -2655.91, -471.44, -1913.88, -3823.5, -4036.0, -800.0, -594.67, -2583.33, 3855.5, 4373.5, 5289.0, 5506.0, 6497.0, 5375.0, 6568.0]",Both,"[53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 52, 52, 51, 48, 45, 44, 42, 39, 38, 35, 31, 26, 24, 19, 16, 15, 14, 11, 9, 8, 6, 6, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1]","[500.0, 500.09, 515.38, 817.64, 1147.32, 1493.24, 1806.81, 2151.14, 2501.4, 2847.07, 3205.46, 3568.01, 3933.24, 4304.52, 4702.63, 5083.74, 5466.0, 5878.68, 6270.57, 6689.26, 7067.44, 7464.52, 7906.85, 8354.58, 8785.73, 9265.43, 9650.1, 10072.67, 10494.53, 10884.14, 11326.86, 11774.74, 12194.03, 12637.98, 13035.77, 13467.5, 13890.63, 14363.78, 14805.5, 15226.93, 15606.27, 16000.33, 16375.81, 16644.33, 16945.75, 17612.67, 18187.83, 18727.17, 18781.25, 19067.5, 21324.5, 21578.0, 22199.5, 22615.0, 23499.0]"
SKT,"[0.0, -0.32, -0.52, 8.64, -25.88, -43.92, 24.04, 52.28, 2.52, -61.68, -118.96, -156.56, -16.4, -40.96, -112.8, -105.28, -189.04, 26.4, 144.56, 115.88, -105.44, -58.6, -108.0, -197.48, -410.48, -819.36, -926.56, -512.29, -623.67, 299.22, 213.24, 585.05, 1364.58, 760.88, -986.93, -720.86, -789.42, -410.67, -0.33, 819.67, -1069.75, 3140.33, 1863.0, 1265.33, 983.67, 4705.5, 5675.0, 4195.5, 3855.5, 4373.5, 5289.0, 5506.0, 6497.0, 5375.0, 6568.0]",Blue,"[53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 52, 52, 51, 48, 45, 44, 42, 39, 38, 35, 31, 26, 24, 19, 16, 15, 14, 11, 9, 8, 6, 6, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1]","[500.0, 500.0, 518.62, 817.0, 1156.45, 1487.57, 1811.89, 2172.0, 2511.77, 2874.68, 3233.11, 3599.53, 3987.66, 4354.51, 4735.75, 5123.64, 5527.75, 5936.21, 6346.45, 6785.75, 7166.42, 7576.43, 8008.25, 8472.19, 8915.96, 9425.51, 9649.25, 10053.76, 10460.75, 10844.1, 11334.85, 11749.13, 12148.46, 12505.55, 12834.54, 13155.42, 13709.89, 14250.5, 14621.13, 15059.71, 15407.64, 15878.11, 15957.75, 15968.67, 16191.83, 16717.67, 17334.33, 17621.67, 17759.0, 18005.5, 20252.0, 20543.0, 21193.0, 21314.0, 22274.0]"
SKT,"[0.0, -0.07, -10.11, -54.68, 32.32, -24.07, 121.96, 100.93, 31.32, 14.89, -2.82, 32.11, 106.32, 93.54, 5.79, -155.86, 167.11, 41.79, -97.18, 175.79, 117.04, 213.64, 33.96, 923.93, 1082.0, 2029.96, 70.87, -198.57, 82.3, -806.0, -612.39, -1751.82, -3006.44, -3711.36, -4314.92, -7347.4, -6658.71, -7480.29, -8227.33, -8848.6, -6885.67, -7695.0, -8208.67, -8912.33, -9055.67, -11811.0, -13134.0, -16141.0]",Red,"[53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 52, 52, 51, 48, 45, 44, 42, 39, 38, 35, 31, 26, 24, 19, 16, 15, 14, 11, 9, 8, 6, 6, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1]","[500.0, 500.19, 512.13, 818.28, 1138.19, 1498.91, 1801.74, 2130.28, 2491.02, 2819.45, 3177.81, 3536.49, 3878.81, 4254.53, 4669.51, 5043.83, 5404.25, 5821.15, 6194.68, 6592.77, 6968.47, 7352.6, 7805.45, 8236.96, 8655.5, 9105.35, 9650.96, 10091.58, 10528.32, 10924.19, 11318.87, 11800.34, 12239.6, 12770.42, 13237.0, 13779.58, 14071.37, 14477.06, 14989.87, 15394.14, 15804.91, 16122.56, 16793.88, 17320.0, 17699.67, 18507.67, 19041.33, 19832.67, 19803.5, 20129.5, 22397.0, 22613.0, 23206.0, 23916.0, 24724.0]"
MVP,"[0.0, 8.71, 12.89, 8.73, -19.36, -38.96, -64.64, -107.47, -47.18, -191.62, -75.42, -70.0, -13.18, -27.64, -126.07, -158.07, -85.91, -17.96, -134.2, -129.8, -37.93, -11.18, -282.04, -211.47, -279.33, -351.18, -583.98, -598.09, -944.62, -669.45, -579.71, -638.38, -2548.06, -2570.14, -2845.32, -3034.73, -2862.36, -2681.78, -5156.95, -4844.06, -4608.79, -3429.5, -5756.11, -4163.57, -3554.71, -4334.5, -4518.0, -3867.17, -3665.0, -1768.75, -1775.67, -4968.0, -5356.5]",Both,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 42, 38, 34, 34, 31, 28, 28, 26, 25, 23, 19, 17, 14, 12, 9, 7, 7, 6, 6, 6, 4, 4, 3, 2, 2]","[500.0, 500.92, 514.37, 814.13, 1149.82, 1487.07, 1790.72, 2127.79, 2473.22, 2777.92, 3148.27, 3503.61, 3842.83, 4227.57, 4607.0, 4975.48, 5378.83, 5757.94, 6139.84, 6536.84, 6934.99, 7293.08, 7721.41, 8141.74, 8557.67, 8984.44, 9399.5, 9810.31, 10213.92, 10570.04, 10933.16, 11313.66, 11773.45, 12117.2, 12519.11, 12981.23, 13437.48, 13803.0, 14286.18, 14600.68, 15049.43, 15415.12, 15945.28, 16471.93, 16838.71, 17292.17, 17633.83, 18018.58, 18737.38, 19136.25, 18934.0, 18536.5, 18817.5]"
MVP,"[0.0, -21.0, -32.04, -114.22, -182.87, -289.78, -285.09, -450.7, -368.22, -524.61, -499.7, -364.91, -272.09, -420.13, -636.52, -755.61, -859.04, -1089.43, -1416.74, -1483.48, -1551.43, -1580.48, -2068.22, -1943.39, -2453.52, -2639.87, -3109.74, -3223.27, -3258.48, -2615.11, -2790.24, -2787.29, -4853.62, -3764.14, -4598.07, -3890.15, -4485.62, -4412.58, -6657.27, -6193.0, -7062.14, -6028.4, -6676.6, -5591.5, -4380.75, -6048.67, -5905.67, -4800.33, -3396.33, -1992.33, -1775.67, -4968.0, -5356.5]",Blue,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 42, 38, 34, 34, 31, 28, 28, 26, 25, 23, 19, 17, 14, 12, 9, 7, 7, 6, 6, 6, 4, 4, 3, 2, 2]","[500.0, 501.11, 518.49, 814.02, 1146.82, 1488.93, 1787.71, 2118.76, 2471.36, 2769.6, 3160.56, 3524.47, 3877.62, 4268.56, 4634.96, 5002.36, 5435.73, 5833.07, 6203.36, 6569.67, 6979.78, 7344.89, 7752.51, 8188.02, 8579.02, 9022.09, 9394.6, 9783.91, 10146.26, 10502.68, 10883.62, 11231.88, 11535.81, 11889.36, 12262.71, 12742.88, 13217.92, 13574.43, 13651.0, 13912.82, 14287.29, 14946.58, 15047.89, 15581.57, 16036.43, 16356.67, 16635.83, 17078.67, 17490.25, 17982.25, 18272.67, 16703.5, 16871.0]"
MVP,"[0.0, 39.77, 59.86, 137.27, 151.59, 223.27, 165.82, 251.36, 288.45, 156.5, 368.14, 238.32, 257.5, 382.68, 407.59, 466.64, 722.36, 1102.23, 1206.64, 1285.41, 1544.36, 1629.45, 1585.32, 1599.18, 1993.68, 2041.55, 2056.59, 2027.09, 1369.24, 1276.21, 1630.82, 1510.53, -88.8, -1376.14, -1092.57, -2179.31, -1103.83, -793.64, -3094.0, -3326.5, -2155.43, -1573.14, -4605.5, -2259.67, -2453.33, -2620.33, -3130.33, -2934.0, -4471.0, -1098.0]",Red,"[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 42, 38, 34, 34, 31, 28, 28, 26, 25, 23, 19, 17, 14, 12, 9, 7, 7, 6, 6, 6, 4, 4, 3, 2, 2]","[500.0, 500.73, 510.24, 814.24, 1152.82, 1485.2, 1793.73, 2136.82, 2475.09, 2786.24, 3135.98, 3482.76, 3808.04, 4186.58, 4579.04, 4948.6, 5321.93, 5682.82, 6076.33, 6504.02, 6890.2, 7241.27, 7690.31, 8095.47, 8536.31, 8946.8, 9404.4, 9836.7, 10281.57, 10637.39, 10982.71, 11395.44, 12011.1, 12345.04, 12775.5, 13219.58, 13657.04, 14031.57, 14921.37, 15288.53, 15811.57, 15883.67, 16842.67, 17362.29, 17641.0, 18227.67, 18631.83, 18958.5, 19984.5, 20290.25, 19595.33, 20369.5, 20764.0]"
JAG,"[0.0, 0.06, -3.92, 5.79, -3.79, -2.96, -0.08, -6.96, 56.98, 45.54, 133.58, 124.56, 140.77, 127.9, 169.98, 298.75, 279.85, 526.75, 585.56, 587.29, 731.23, 765.5, 825.71, 704.77, 609.17, 665.25, 803.27, 89.2, 88.7, -1794.08, -1257.29, -1831.65, -1935.67, -1856.94, -2147.1, -2285.16, -1501.48, -1489.3, -1366.0, -177.25, -297.88, 579.0, -899.0, -1955.0, -1526.3, 1162.29, 1201.71, 1200.43, 1281.4, 1401.0, -390.0, -1205.5, -2645.33, -8302.5, -9022.0, -9181.5, -6678.0, -8342.0, -10210.0, -11509.0]",Both,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 44, 40, 35, 34, 33, 31, 31, 31, 27, 23, 22, 20, 17, 12, 11, 11, 10, 7, 7, 7, 5, 5, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1]","[500.0, 500.0, 510.82, 820.3, 1137.95, 1486.1, 1805.32, 2136.74, 2491.01, 2810.48, 3188.14, 3544.6, 3891.18, 4256.61, 4640.36, 5022.77, 5426.83, 5813.92, 6187.86, 6574.22, 6936.95, 7296.58, 7701.56, 8092.8, 8510.66, 8971.6, 9350.84, 9794.54, 10192.08, 10577.59, 10955.84, 11340.63, 11753.95, 12114.18, 12511.1, 12943.06, 13218.22, 13636.0, 14184.89, 14579.1, 14925.09, 15213.75, 15680.64, 16075.14, 16442.95, 17036.36, 17367.79, 17663.0, 18064.8, 18371.1, 19045.38, 19507.88, 19719.0, 20392.5, 20733.25, 21015.25, 20858.5, 21097.0, 21908.0, 22380.0]"
JAG,"[0.0, 0.13, 26.96, 96.0, 124.43, 142.17, 163.39, 169.48, 327.83, 336.91, 559.43, 599.04, 648.74, 755.52, 789.39, 1078.35, 1102.65, 1535.04, 1675.87, 1797.09, 1912.22, 2067.48, 2242.35, 2175.91, 2033.52, 2153.09, 2461.7, 1640.55, 2378.1, -1139.47, 683.07, -380.29, -999.43, -684.5, -880.5, -1226.64, -1404.79, -1594.6, -2048.1, -1448.33, -1133.0, -743.6, -3072.25, -4182.5, -3041.67, 899.5, 1356.0, 1418.0]",Blue,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 44, 40, 35, 34, 33, 31, 31, 31, 27, 23, 22, 20, 17, 12, 11, 11, 10, 7, 7, 7, 5, 5, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1]","[500.0, 500.0, 515.48, 825.9, 1150.33, 1495.15, 1811.5, 2153.81, 2517.75, 2836.04, 3221.52, 3582.75, 3926.04, 4292.46, 4688.27, 5085.5, 5464.88, 5878.79, 6255.06, 6648.02, 7037.6, 7395.85, 7808.56, 8217.33, 8619.5, 9095.33, 9479.44, 9866.02, 10260.2, 10403.62, 10820.74, 11153.44, 11553.06, 11860.77, 12218.97, 12650.19, 12991.67, 13418.17, 13942.14, 14462.8, 14780.82, 15207.67, 15608.18, 15854.36, 16305.8, 17056.0, 17388.71, 17726.14, 18174.4, 18445.4, 18943.25, 19247.0, 19410.0, 19158.5, 19464.5, 19695.5, 19149.0, 19271.0, 19644.0, 19893.0]"
JAG,"[0.0, 0.0, -32.32, -77.2, -121.76, -136.48, -150.48, -169.28, -192.2, -222.52, -258.2, -311.96, -326.56, -449.52, -399.88, -418.48, -477.12, -400.88, -417.52, -525.72, -355.28, -432.32, -477.6, -648.68, -701.24, -703.56, -722.48, -1332.88, -2001.61, -2277.91, -2712.55, -2847.6, -2625.53, -2822.47, -3190.18, -3156.88, -1605.62, -1408.31, -797.58, 862.73, 286.7, 1523.71, 342.86, -682.14, -876.86, 1267.4, 1140.0, 1113.4, 1281.4, 1401.0, -390.0, -1205.5, -2645.33, -8302.5, -9022.0, -9181.5, -6678.0, -8342.0, -10210.0, -11509.0]",Red,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 46, 44, 40, 35, 34, 33, 31, 31, 31, 27, 23, 22, 20, 17, 12, 11, 11, 10, 7, 7, 7, 5, 5, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1]","[500.0, 500.0, 506.17, 814.71, 1125.56, 1477.06, 1799.15, 2119.67, 2464.27, 2784.92, 3154.75, 3506.46, 3856.31, 4220.77, 4592.46, 4960.04, 5388.79, 5749.04, 6120.67, 6500.42, 6836.29, 7197.31, 7594.56, 7968.27, 8401.81, 8847.88, 9222.25, 9723.07, 10123.95, 10751.55, 11090.94, 11527.82, 11954.85, 12367.58, 12803.23, 13235.94, 13444.78, 13853.83, 14427.64, 14695.4, 15069.35, 15219.83, 15753.09, 16295.91, 16580.1, 17016.71, 17346.86, 17599.86, 17955.2, 18296.8, 19147.5, 19768.75, 20028.0, 21626.5, 22002.0, 22335.0, 22568.0, 22923.0, 24172.0, 24867.0]"
LZ,"[0.0, 10.35, 5.81, 1.0, 6.44, 19.85, 79.88, 27.44, -24.56, -117.65, -15.15, -2.5, 43.94, -17.38, -185.17, -168.92, -162.21, -208.27, -119.83, 36.69, 62.88, 50.83, -7.48, -92.96, -47.73, 95.92, -162.51, 238.64, 31.33, 581.66, 1241.06, 819.39, 440.87, 217.73, 42.67, 325.43, 0.55, 306.25, 390.64, 653.44, 830.44, 3247.62, 3309.17, 3094.67, 3569.67, 2115.2, 2575.4, 2578.25, 1179.67, 2036.33, 1862.33, 2846.33, 3899.67, 3920.67, 4616.0, 3881.0, 2905.0]",Both,"[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 45, 44, 42, 38, 35, 33, 31, 26, 24, 23, 22, 16, 11, 9, 9, 8, 6, 6, 6, 5, 5, 4, 3, 3, 3, 3, 3, 3, 3, 2, 1]","[500.0, 500.36, 508.9, 813.64, 1146.69, 1496.05, 1806.8, 2152.78, 2504.22, 2828.26, 3190.4, 3547.49, 3884.25, 4276.82, 4671.12, 5044.35, 5451.45, 5857.92, 6249.68, 6689.32, 7067.54, 7452.93, 7888.4, 8349.26, 8784.03, 9212.41, 9657.54, 10083.12, 10504.85, 10910.83, 11359.5, 11748.91, 12157.16, 12597.5, 12919.31, 13352.65, 13836.45, 14287.22, 14776.41, 15324.0, 15762.72, 16343.88, 17102.17, 17466.75, 17824.42, 18004.1, 18552.9, 18859.62, 19625.0, 20041.5, 20436.0, 20667.83, 21078.5, 21530.83, 22052.83, 21626.75, 21003.0]"
